===== BERTS Scores (documents) =====
      precision  recall     f1
986       0.271   0.529  0.384
987       0.393   0.591  0.484
988       0.486   0.712  0.589
989       0.393   0.623  0.496
990       0.447   0.660  0.544
991       0.314   0.588  0.433
992       0.330   0.583  0.442
993       0.415   0.604  0.502
994       0.440   0.564  0.499
995       0.348   0.641  0.475
996       0.334   0.616  0.457
997       0.382   0.637  0.495
998       0.431   0.637  0.525
999       0.343   0.655  0.477
1000      0.300   0.604  0.430
1001      0.370   0.644  0.490
1002      0.407   0.655  0.518
1003      0.333   0.594  0.448
1004      0.349   0.602  0.461
1005      0.291   0.575  0.414
1006      0.593   0.763  0.673
1007      0.352   0.573  0.452
1008      0.457   0.652  0.547
1009      0.415   0.622  0.510
1010      0.440   0.583  0.508
1011      0.414   0.646  0.519
1012      0.309   0.572  0.424
1013      0.309   0.593  0.432
1014      0.337   0.596  0.451
1015      0.404   0.579  0.486
1016      0.563   0.583  0.574
1017      0.466   0.653  0.553
1018      0.305   0.577  0.424
1019      0.275   0.566  0.400
1020      0.452   0.616  0.529
1021      0.455   0.581  0.515
1022      0.390   0.675  0.515
1023      0.293   0.548  0.405
1024      0.387   0.655  0.506
1025      0.328   0.599  0.447
1026      0.414   0.627  0.511
1027      0.309   0.567  0.423
1028      0.418   0.636  0.517
1029      0.365   0.689  0.504
1030      0.379   0.575  0.469
1031      0.374   0.604  0.477
1032      0.392   0.592  0.483
1033      0.312   0.548  0.417
1034      0.411   0.655  0.520
1035      0.255   0.546  0.380
1036      0.445   0.717  0.566
1037      0.331   0.617  0.455
1038      0.341   0.533  0.429
1039      0.403   0.629  0.505
1040      0.372   0.602  0.475
1041      0.365   0.634  0.483
1042      0.299   0.617  0.435
1043      0.319   0.613  0.446
1044      0.358   0.587  0.461
1045      0.319   0.594  0.439
1046      0.416   0.613  0.507
1047      0.360   0.654  0.488
1048      0.494   0.685  0.582
1049      0.456   0.592  0.521
1050      0.360   0.619  0.475
1051      0.271   0.609  0.413
1052      0.392   0.595  0.485
1053      0.369   0.580  0.465
1054      0.368   0.554  0.454
1055      0.382   0.637  0.495
1056      0.427   0.681  0.540
1057      0.344   0.572  0.446
1058      0.486   0.666  0.570
1059      0.343   0.637  0.470
1060      0.510   0.702  0.599
1061      0.351   0.569  0.450
1062      0.409   0.660  0.521
1063      0.356   0.552  0.445
1064      0.379   0.616  0.485
1065      0.263   0.587  0.399
1066      0.321   0.544  0.421
1067      0.371   0.648  0.492
1068      0.408   0.682  0.529
1069      0.529   0.661  0.592
1070      0.327   0.577  0.438
1071      0.338   0.588  0.449
1072      0.367   0.629  0.483
1073      0.357   0.521  0.434
1074      0.339   0.613  0.459
1075      0.554   0.614  0.584
1076      0.379   0.628  0.490
1077      0.359   0.617  0.474
1078      0.435   0.612  0.517
1079      0.375   0.626  0.486
1080      0.343   0.597  0.455
1081      0.412   0.615  0.505
1082      0.359   0.606  0.469
1083      0.526   0.634  0.578
1084      0.369   0.653  0.493
1085      0.280   0.528  0.389
1086      0.399   0.638  0.506
1087      0.427   0.618  0.515
1088      0.420   0.622  0.513
1089      0.341   0.658  0.477
1090      0.383   0.599  0.481
1091      0.358   0.602  0.467
1092      0.424   0.711  0.550
1093      0.395   0.596  0.487
1094      0.611   0.812  0.704
1095      0.306   0.578  0.425
1096      0.369   0.656  0.494
1097      0.543   0.758  0.642
1098      0.325   0.569  0.434
1099      0.304   0.596  0.430
1100      0.308   0.586  0.429
1101      0.302   0.543  0.409
1102      0.332   0.573  0.439
1103      0.360   0.621  0.476
1104      0.388   0.651  0.505
1105      0.340   0.592  0.451
1106      0.383   0.622  0.490
1107      0.375   0.614  0.482
1108      0.383   0.578  0.472
1109      0.476   0.659  0.561
1110      0.333   0.600  0.450
1111      0.295   0.521  0.396
1112      0.286   0.548  0.401
1113      0.550   0.682  0.613
1114      0.409   0.637  0.512
1115      0.339   0.581  0.447
1116      0.534   0.707  0.615
1117      0.472   0.650  0.555
1118      0.304   0.575  0.422
1119      0.200   0.477  0.319
1120      0.368   0.619  0.480
1121      0.375   0.609  0.480
1122      0.337   0.509  0.417
1123      0.352   0.569  0.450
1124      0.324   0.547  0.424
1125      0.332   0.577  0.441
1126      0.465   0.704  0.573
1127      0.464   0.614  0.535
1128      0.364   0.600  0.470
1129      0.461   0.728  0.580
1130      0.304   0.544  0.410
1131      0.408   0.669  0.524
1132      0.301   0.599  0.429
1133      0.414   0.602  0.501
1134      0.413   0.640  0.516
1135      0.318   0.613  0.445
1136      0.318   0.606  0.443
1137      0.422   0.651  0.525
1138      0.387   0.650  0.503
1139      0.418   0.678  0.534
1140      0.511   0.646  0.576
1141      0.429   0.690  0.545
1142      0.400   0.618  0.499
1143      0.387   0.622  0.492
1144      0.507   0.625  0.564
1145      0.248   0.543  0.374
1146      0.397   0.660  0.513
1147      0.290   0.604  0.424
1148      0.465   0.688  0.566
1149      0.261   0.499  0.366
1150      0.370   0.636  0.487
1151      0.389   0.619  0.493
1152      0.452   0.660  0.547
1153      0.420   0.678  0.535
1154      0.474   0.612  0.540
1155      0.400   0.613  0.497
1156      0.444   0.644  0.536
1157      0.351   0.632  0.474
1158      0.297   0.501  0.390
1159      0.351   0.619  0.469
1160      0.311   0.564  0.423
1161      0.279   0.544  0.395
1162      0.342   0.673  0.483
1163      0.386   0.568  0.470
1164      0.316   0.635  0.452
1165      0.395   0.584  0.482
1166      0.401   0.640  0.508
1167      0.317   0.591  0.437
1168      0.324   0.529  0.417
1169      0.361   0.641  0.483
1170      0.328   0.563  0.433
1171      0.341   0.562  0.441
1172      0.395   0.625  0.499
1173      0.394   0.627  0.499
1174      0.378   0.654  0.499
1175      0.360   0.632  0.480
1176      0.455   0.708  0.568
1177      0.380   0.634  0.493
1178      0.306   0.560  0.418
1179      0.329   0.541  0.425
1180      0.374   0.584  0.469
1181      0.400   0.567  0.478
1182      0.407   0.648  0.515
1183      0.387   0.654  0.505
1184      0.367   0.566  0.458
1185      0.442   0.634  0.531
1186      0.398   0.577  0.481
1187      0.316   0.568  0.427
1188      0.423   0.647  0.524
1189      0.293   0.577  0.416
1190      0.444   0.642  0.535
1191      0.361   0.564  0.453
1192      0.399   0.634  0.505
1193      0.323   0.586  0.439
1194      0.281   0.509  0.383
1195      0.332   0.551  0.431
1196      0.458   0.647  0.546
1197      0.389   0.550  0.465
1198      0.514   0.688  0.595
1199      0.383   0.660  0.504
1200      0.242   0.542  0.370
1201      0.362   0.646  0.486
1202      0.439   0.695  0.554
1203      0.541   0.691  0.612
1204      0.329   0.570  0.437
1205      0.376   0.508  0.439
1206      0.343   0.442  0.392
1207      0.252   0.473  0.351
1208      0.277   0.573  0.404
1209      0.461   0.641  0.545
1210      0.424   0.631  0.518
1211      0.284   0.563  0.405
1212      0.390   0.664  0.511
1213      0.297   0.629  0.437
1214      0.316   0.580  0.432
1215      0.370   0.595  0.471
1216      0.404   0.597  0.493
1217      0.355   0.611  0.468
1218      0.281   0.608  0.419
1219      0.418   0.725  0.552
1220      0.472   0.650  0.555
1221      0.384   0.665  0.507
1222      0.456   0.687  0.561
1223      0.351   0.624  0.471
1224      0.319   0.613  0.446
1225      0.401   0.636  0.507
1226      0.426   0.650  0.528
1227      0.418   0.665  0.529
1228      0.454   0.661  0.549
1229      0.284   0.561  0.404
1230      0.401   0.627  0.503
1231      0.509   0.654  0.578
1232      0.376   0.630  0.489
1233      0.536   0.691  0.609
1234      0.336   0.640  0.467
1235      0.442   0.693  0.554
1236      0.316   0.608  0.442
1237      0.382   0.545  0.458
1238      0.372   0.606  0.477
1239      0.353   0.595  0.461
1240      0.266   0.530  0.381
1241      0.313   0.597  0.436
1242      0.368   0.632  0.485
1243      0.361   0.619  0.475
1244      0.305   0.584  0.427
1245      0.297   0.567  0.415
1246      0.304   0.598  0.431
1247      0.339   0.617  0.460
1248      0.372   0.629  0.486
1249      0.389   0.572  0.474
1250      0.417   0.643  0.520
1251      0.324   0.594  0.442
1252      0.383   0.632  0.494
1253      0.481   0.704  0.583
1254      0.297   0.552  0.410
1255      0.306   0.618  0.439
1256      0.300   0.590  0.425
1257      0.324   0.598  0.444
1258      0.420   0.546  0.480
1259      0.389   0.609  0.489
1260      0.423   0.611  0.510
1261      0.417   0.699  0.541
1262      0.295   0.561  0.411
1263      0.329   0.569  0.436
1264      0.419   0.684  0.537
1265      0.348   0.605  0.462
1266      0.297   0.599  0.426
1267      0.389   0.631  0.497
1268      0.387   0.660  0.507
1269      0.444   0.651  0.539
1270      0.366   0.604  0.472
1271      0.310   0.580  0.428
1272      0.330   0.625  0.457
1273      0.387   0.605  0.486
1274      0.338   0.631  0.465
1275      0.328   0.590  0.443
1276      0.368   0.636  0.486
1277      0.446   0.701  0.560
1278      0.384   0.693  0.518
1279      0.420   0.596  0.502
1280      0.478   0.685  0.573
1281      0.275   0.560  0.398
1282      0.428   0.667  0.536
1283      0.375   0.563  0.462
1284      0.303   0.572  0.421
1285      0.341   0.607  0.458
1286      0.318   0.601  0.441
1287      0.328   0.568  0.435
1288      0.360   0.599  0.467
1289      0.387   0.658  0.506
1290      0.353   0.585  0.457
1291      0.368   0.562  0.457
1292      0.395   0.614  0.494
1293      0.342   0.588  0.451
1294      0.380   0.608  0.483
1295      0.387   0.594  0.482
1296      0.460   0.636  0.542
1297      0.428   0.637  0.523
1298      0.379   0.564  0.465
1299      0.386   0.610  0.487
1300      0.379   0.564  0.464
1301      0.332   0.554  0.432
1302      0.371   0.617  0.481
1303      0.354   0.619  0.471
1304      0.523   0.690  0.602
1305      0.442   0.631  0.529
1306      0.430   0.690  0.545
1307      0.311   0.594  0.434
1308      0.384   0.629  0.494
1309      0.314   0.587  0.433
1310      0.406   0.646  0.514
1311      0.324   0.593  0.442
1312      0.324   0.554  0.427
1313      0.274   0.533  0.387
1314      0.325   0.641  0.460
1315      0.343   0.545  0.435
1316      0.504   0.682  0.587
1317      0.388   0.596  0.483
1318      0.336   0.595  0.450
1319      0.409   0.612  0.502
1320      0.551   0.641  0.595
1321      0.382   0.661  0.504
1322      0.364   0.610  0.474
1323      0.417   0.681  0.534
1324      0.365   0.628  0.481
1325      0.245   0.470  0.345
1326      0.387   0.598  0.483
1327      0.350   0.563  0.446
1328      0.319   0.604  0.443
1329      0.324   0.592  0.442
1330      0.466   0.726  0.582
1331      0.312   0.563  0.423
1332      0.389   0.609  0.489
1333      0.341   0.591  0.452
1334      0.352   0.598  0.462
1335      0.438   0.607  0.517
1336      0.371   0.578  0.465
1337      0.322   0.565  0.430
1338      0.249   0.564  0.382
1339      0.376   0.624  0.486
1340      0.301   0.580  0.422
1341      0.353   0.617  0.469
1342      0.369   0.578  0.464
1343      0.342   0.581  0.449
1344      0.614   0.758  0.682
1345      0.277   0.585  0.408
1346      0.279   0.542  0.394
1347      0.455   0.581  0.515
1348      0.396   0.549  0.468
1349      0.405   0.638  0.510
1350      0.376   0.572  0.466
1351      0.409   0.631  0.510
1352      0.412   0.588  0.494
1353      0.394   0.638  0.503
1354      0.399   0.661  0.515
1355      0.403   0.679  0.524
1356      0.459   0.623  0.536
1357      0.385   0.648  0.501
1358      0.386   0.601  0.484
1359      0.282   0.533  0.392
1360      0.293   0.483  0.380
1361      0.337   0.580  0.445
1362      0.361   0.598  0.467
1363      0.321   0.581  0.436
1364      0.374   0.581  0.469
1365      0.358   0.602  0.467
1366      0.337   0.574  0.442
1367      0.368   0.608  0.475
1368      0.363   0.638  0.483
1369      0.384   0.593  0.479
1370      0.314   0.556  0.421
1371      0.386   0.601  0.484
1372      0.448   0.652  0.541
1373      0.392   0.573  0.476
1374      0.337   0.547  0.432
1375      0.348   0.580  0.452
1376      0.334   0.650  0.469
1377      0.381   0.650  0.500
1378      0.381   0.615  0.486
1379      0.388   0.654  0.505
1380      0.498   0.641  0.566
1381      0.427   0.656  0.531
1382      0.296   0.532  0.401
1383      0.302   0.583  0.424
1384      0.386   0.617  0.490
1385      0.367   0.658  0.493
1386      0.474   0.697  0.576
1387      0.374   0.554  0.457
1388      0.353   0.578  0.454
1389      0.478   0.621  0.546
1390      0.435   0.695  0.551
1391      0.377   0.606  0.480
1392      0.315   0.630  0.450
1393      0.416   0.585  0.495
1394      0.496   0.718  0.597
1395      0.349   0.616  0.466
1396      0.378   0.651  0.498
1397      0.326   0.565  0.432
1398      0.414   0.577  0.491
1399      0.402   0.647  0.511
1400      0.325   0.591  0.442
1401      0.315   0.555  0.422
1402      0.337   0.577  0.444
1403      0.379   0.575  0.469
1404      0.333   0.606  0.453
1405      0.304   0.530  0.405
1406      0.396   0.652  0.510
1407      0.327   0.579  0.438
1408      0.424   0.658  0.530
1409      0.396   0.562  0.474
1410      0.343   0.611  0.461
1411      0.371   0.594  0.472
1412      0.255   0.518  0.369
1413      0.305   0.558  0.417
1414      0.309   0.537  0.411
1415      0.335   0.579  0.444
1416      0.377   0.602  0.479
1417      0.383   0.548  0.460
1418      0.412   0.607  0.502
1419      0.401   0.646  0.511
1420      0.346   0.636  0.472
1421      0.393   0.621  0.496
1422      0.413   0.680  0.531
1423      0.395   0.605  0.491
1424      0.368   0.605  0.474
1425      0.452   0.698  0.562
1426      0.288   0.578  0.413
1427      0.330   0.587  0.443
1428      0.283   0.572  0.407
1429      0.424   0.703  0.547
1430      0.388   0.688  0.518
1431      0.418   0.616  0.509
1432      0.442   0.693  0.554
1433      0.355   0.645  0.482
1434      0.410   0.645  0.516
1435      0.385   0.599  0.482
1436      0.528   0.517  0.523
1437      0.389   0.658  0.507
1438      0.319   0.586  0.436
1439      0.326   0.558  0.430
1440      0.456   0.685  0.560
1441      0.372   0.650  0.494
1442      0.389   0.548  0.464
1443      0.412   0.651  0.519
1444      0.388   0.552  0.465
1445      0.385   0.601  0.483
1446      0.381   0.597  0.479
1447      0.382   0.580  0.473
1448      0.409   0.593  0.494
1449      0.367   0.617  0.478
1450      0.338   0.619  0.461
1451      0.568   0.679  0.622
1452      0.372   0.702  0.513
1453      0.344   0.600  0.457
1454      0.309   0.582  0.428
1455      0.379   0.633  0.492
1456      0.514   0.729  0.613
1457      0.373   0.571  0.464
1458      0.312   0.596  0.435
1459      0.487   0.586  0.535
1460      0.533   0.573  0.554
1461      0.347   0.590  0.455
1462      0.426   0.595  0.505
1463      0.334   0.607  0.453
1464      0.592   0.755  0.669
1465      0.340   0.567  0.442
1466      0.420   0.639  0.519
1467      0.321   0.603  0.444
1468      0.413   0.604  0.501
1469      0.410   0.602  0.499
1470      0.349   0.635  0.473
1471      0.304   0.557  0.416
1472      0.393   0.598  0.486
1473      0.522   0.605  0.563
1474      0.309   0.540  0.412
1475      0.372   0.569  0.462
1476      0.382   0.637  0.495
1477      0.355   0.586  0.459
1478      0.317   0.544  0.419
1479      0.462   0.761  0.593
1480      0.339   0.585  0.448
1481      0.407   0.633  0.509
1482      0.480   0.634  0.553
1483      0.299   0.595  0.426
1484      0.391   0.588  0.481
1485      0.312   0.597  0.436
1486      0.326   0.543  0.424
1487      0.403   0.659  0.517
1488      0.470   0.706  0.577
1489      0.373   0.635  0.489
1490      0.352   0.569  0.450
1491      0.416   0.633  0.515
1492      0.405   0.661  0.519
1493      0.357   0.606  0.468
1494      0.344   0.585  0.451
1495      0.370   0.625  0.483
1496      0.317   0.643  0.455
1497      0.396   0.619  0.497
1498      0.334   0.630  0.462
1499      0.277   0.561  0.400
1500      0.398   0.640  0.507
1501      0.368   0.621  0.480
1502      0.478   0.696  0.578
1503      0.390   0.583  0.478
1504      0.366   0.596  0.469
1505      0.469   0.714  0.579
1506      0.451   0.674  0.552
1507      0.353   0.643  0.479
1508      0.342   0.621  0.464
1509      0.334   0.648  0.469
1510      0.335   0.614  0.456
1511      0.291   0.611  0.427
1512      0.426   0.566  0.493
1513      0.422   0.647  0.524
1514      0.368   0.614  0.478
1515      0.322   0.586  0.438
1516      0.391   0.550  0.466
1517      0.339   0.549  0.434
1518      0.404   0.631  0.507
1519      0.389   0.534  0.457
1520      0.368   0.578  0.463
1521      0.518   0.724  0.613
1522      0.311   0.588  0.432
1523      0.297   0.557  0.411
1524      0.424   0.640  0.523
1525      0.362   0.611  0.473
1526      0.290   0.554  0.406
1527      0.160   0.434  0.276
1528      0.314   0.562  0.424
1529      0.392   0.621  0.495
1530      0.431   0.634  0.524
1531      0.361   0.591  0.464
1532      0.408   0.638  0.512
1533      0.393   0.677  0.517
1534      0.408   0.625  0.507
1535      0.330   0.586  0.443
1536      0.326   0.591  0.442
1537      0.386   0.626  0.494
1538      0.355   0.650  0.483
1539      0.361   0.562  0.453
1540      0.383   0.598  0.480
1541      0.402   0.585  0.487
1542      0.331   0.573  0.439
1543      0.356   0.608  0.468
1544      0.361   0.571  0.456
1545      0.344   0.579  0.449
1546      0.396   0.635  0.503
1547      0.337   0.612  0.457
1548      0.418   0.646  0.521
1549      0.370   0.598  0.472
1550      0.384   0.639  0.498
1551      0.349   0.607  0.463
1552      0.352   0.600  0.462
1553      0.380   0.650  0.499
1554      0.383   0.601  0.482
1555      0.404   0.593  0.491
1556      0.282   0.550  0.399
1557      0.355   0.594  0.462
1558      0.321   0.602  0.443
1559      0.356   0.617  0.471
1560      0.350   0.581  0.453
1561      0.309   0.528  0.407
1562      0.348   0.627  0.470
1563      0.300   0.582  0.422
1564      0.327   0.528  0.418
1565      0.364   0.615  0.475
1566      0.299   0.549  0.410
1567      0.327   0.610  0.450
1568      0.437   0.635  0.528
1569      0.338   0.561  0.438
1570      0.419   0.641  0.520
1571      0.396   0.640  0.505
1572      0.314   0.590  0.434
1573      0.444   0.610  0.522
1574      0.489   0.703  0.587
1575      0.432   0.522  0.477
1576      0.344   0.567  0.445
1577      0.314   0.614  0.443
1578      0.350   0.587  0.456
1579      0.321   0.548  0.423
1580      0.309   0.569  0.423
1581      0.326   0.598  0.445
1582      0.302   0.610  0.434
1583      0.405   0.613  0.500
1584      0.370   0.619  0.481
1585      0.292   0.566  0.411
1586      0.329   0.581  0.440
1587      0.375   0.643  0.493
1588      0.381   0.625  0.490
1589      0.370   0.607  0.476
1590      0.377   0.669  0.504
1591      0.287   0.597  0.419
1592      0.416   0.623  0.511
1593      0.283   0.550  0.399
1594      0.418   0.659  0.526
1595      0.587   0.668  0.627
1596      0.370   0.618  0.481
1597      0.300   0.596  0.428
1598      0.369   0.636  0.487
1599      0.389   0.645  0.503
1600      0.262   0.519  0.375
1601      0.410   0.653  0.519
1602      0.312   0.545  0.416
1603      0.380   0.611  0.484
1604      0.438   0.665  0.541
1605      0.347   0.600  0.459
1606      0.273   0.601  0.411
1607      0.317   0.556  0.423
1608      0.311   0.648  0.453
1609      0.373   0.640  0.490
1610      0.394   0.682  0.520
1611      0.432   0.656  0.533
1612      0.370   0.619  0.481
1613      0.330   0.615  0.454
1614      0.297   0.610  0.430
1615      0.394   0.621  0.497
1616      0.354   0.578  0.455
1617      0.497   0.624  0.558
1618      0.380   0.593  0.476
1619      0.430   0.664  0.536
1620      0.295   0.616  0.431
1621      0.369   0.606  0.475
1622      0.393   0.629  0.499
1623      0.490   0.600  0.543
1624      0.345   0.620  0.466
1625      0.433   0.547  0.488
1626      0.524   0.711  0.611
1627      0.478   0.693  0.577
1628      0.480   0.637  0.554
1629      0.372   0.527  0.445
1630      0.342   0.631  0.468
1631      0.389   0.565  0.471
1632      0.296   0.515  0.395
1633      0.429   0.616  0.515
1634      0.306   0.578  0.425
1635      0.448   0.624  0.530
1636      0.352   0.602  0.463
1637      0.385   0.613  0.487
1638      0.395   0.573  0.477
1639      0.303   0.576  0.422
1640      0.370   0.634  0.487
1641      0.437   0.583  0.506
1642      0.335   0.590  0.448
1643      0.591   0.712  0.650
1644      0.364   0.607  0.473
1645      0.366   0.581  0.464
1646      0.463   0.689  0.566
1647      0.424   0.614  0.512
1648      0.299   0.691  0.459
1649      0.486   0.682  0.577
1650      0.494   0.698  0.588
1651      0.316   0.587  0.434
1652      0.256   0.556  0.384
1653      0.388   0.621  0.493
1654      0.436   0.715  0.559
1655      0.377   0.616  0.484
1656      0.518   0.635  0.574
1657      0.475   0.673  0.566
1658      0.310   0.533  0.410
1659      0.418   0.657  0.526
1660      0.422   0.721  0.552
1661      0.430   0.605  0.511
1662      0.401   0.599  0.492
1663      0.425   0.665  0.533
1664      0.448   0.595  0.518
1665      0.414   0.630  0.512
1666      0.345   0.591  0.454
1667      0.513   0.660  0.583
1668      0.382   0.666  0.506
1669      0.285   0.592  0.416
1670      0.461   0.668  0.556
1671      0.388   0.645  0.502
1672      0.327   0.596  0.445
1673      0.392   0.586  0.481
1674      0.422   0.643  0.522
1675      0.400   0.656  0.514
1676      0.325   0.530  0.418
1677      0.393   0.589  0.483
1678      0.498   0.717  0.598
1679      0.370   0.652  0.493
1680      0.511   0.680  0.590
1681      0.454   0.641  0.540
1682      0.418   0.656  0.525
1683      0.241   0.045  0.131
1684      0.327   0.557  0.430
1685      0.394   0.654  0.509
1686      0.395   0.669  0.516
1687      0.274   0.555  0.395
1688      0.376   0.696  0.513
1689      0.345   0.607  0.461
1690      0.301   0.608  0.433
1691      0.306   0.567  0.421
1692      0.410   0.536  0.470
1693      0.532   0.699  0.611
1694      0.310   0.594  0.433
1695      0.402   0.629  0.504
1696      0.449   0.651  0.541
1697      0.442   0.624  0.526
1698      0.385   0.618  0.490
1699      0.375   0.643  0.494
1700      0.262   0.566  0.391
1701      0.553   0.742  0.641
1702      0.217   0.456  0.322
1703      0.367   0.591  0.468
1704      0.518   0.754  0.625
1705      0.358   0.597  0.465
1706      0.416   0.602  0.502
1707      0.345   0.605  0.460
1708      0.337   0.497  0.412
1709      0.310   0.549  0.416
1710      0.397   0.615  0.496
1711      0.298   0.558  0.412
1712      0.387   0.585  0.478
1713      0.329   0.622  0.456
1714      0.298   0.586  0.422
1715      0.317   0.618  0.447
1716      0.472   0.712  0.580
1717      0.390   0.715  0.530
1718      0.332   0.501  0.410
1719      0.294   0.566  0.413
1720      0.520   0.623  0.570
1721      0.317   0.565  0.427
1722      0.405   0.596  0.493
1723      0.360   0.582  0.460
1724      0.335   0.585  0.446
1725      0.332   0.561  0.434
1726      0.332   0.595  0.448
1727      0.363   0.668  0.495
1728      0.414   0.656  0.523
1729      0.367   0.603  0.473
1730      0.301   0.581  0.423
1731      0.261   0.595  0.401
1732      0.393   0.656  0.509
1733      0.338   0.614  0.459
1734      0.487   0.586  0.535
1735      0.355   0.606  0.467
1736      0.438   0.667  0.542
1737      0.292   0.608  0.427
1738      0.369   0.581  0.465
1739      0.496   0.702  0.590
1740      0.462   0.631  0.541
1741      0.289   0.536  0.398
1742      0.343   0.518  0.424
1743      0.349   0.625  0.470
1744      0.516   0.636  0.574
1745      0.330   0.566  0.436
1746      0.379   0.633  0.492
1747      0.304   0.598  0.431
1748      0.453   0.652  0.544
1749      0.373   0.617  0.482
1750      0.459   0.678  0.559
1751      0.326   0.621  0.454
1752      0.262   0.541  0.382
1753      0.359   0.602  0.468
1754      0.307   0.589  0.430
1755      0.346   0.538  0.434
1756      0.385   0.618  0.490
1757      0.338   0.624  0.462
1758      0.378   0.629  0.490
1759      0.389   0.630  0.497
1760      0.385   0.642  0.499
1761      0.382   0.526  0.450
1762      0.302   0.583  0.424
1763      0.451   0.692  0.559
1764      0.346   0.583  0.452
1765      0.518   0.618  0.566
1766      0.285   0.571  0.408
1767      0.284   0.529  0.392
1768      0.321   0.565  0.430
1769      0.351   0.577  0.453
1770      0.422   0.621  0.514
1771      0.340   0.587  0.450
1772      0.417   0.684  0.535
1773      0.351   0.536  0.436
1774      0.254   0.535  0.375
1775      0.374   0.624  0.486
1776      0.354   0.617  0.470
1777      0.351   0.588  0.457
1778      0.390   0.637  0.500
1779      0.399   0.627  0.502
1780      0.284   0.513  0.386
1781      0.365   0.616  0.476
1782      0.425   0.687  0.541
1783      0.464   0.669  0.558
1784      0.447   0.499  0.474
1785      0.350   0.622  0.469
1786      0.411   0.648  0.518
1787      0.293   0.500  0.386
1788      0.435   0.662  0.537
1789      0.415   0.645  0.519
1790      0.349   0.539  0.436
1791      0.264   0.541  0.384
1792      0.313   0.568  0.426
1793      0.431   0.666  0.537
1794      0.420   0.624  0.514
1795      0.369   0.594  0.471
1796      0.317   0.589  0.436
1797      0.311   0.583  0.430
1798      0.313   0.569  0.425
1799      0.371   0.597  0.473
1800      0.431   0.634  0.524
1801      0.451   0.652  0.543
1802      0.372   0.658  0.497
1803      0.229   0.482  0.339
1804      0.344   0.508  0.421
1805      0.298   0.560  0.413
1806      0.318   0.600  0.440
1807      0.379   0.616  0.486
1808      0.377   0.539  0.453
1809      0.336   0.566  0.439
1810      0.305   0.612  0.437
1811      0.384   0.613  0.487
1812      0.345   0.581  0.451
1813      0.352   0.601  0.463
1814      0.388   0.632  0.497
1815      0.270   0.553  0.392
1816      0.395   0.581  0.481
1817      0.423   0.648  0.525
1818      0.378   0.617  0.485
1819      0.349   0.579  0.452
1820      0.318   0.620  0.448
1821      0.439   0.686  0.550
1822      0.271   0.561  0.396
1823      0.394   0.620  0.496
1824      0.371   0.630  0.485
1825      0.364   0.596  0.468
1826      0.469   0.653  0.554
1827      0.338   0.591  0.450
1828      0.423   0.653  0.527
1829      0.338   0.605  0.456
1830      0.362   0.656  0.490
1831      0.360   0.564  0.453
1832      0.415   0.598  0.500
1833      0.474   0.693  0.574
1834      0.304   0.558  0.416
1835      0.326   0.619  0.452
1836      0.466   0.626  0.541
1837      0.338   0.582  0.447
1838      0.365   0.624  0.480
1839      0.491   0.656  0.568
1840      0.338   0.634  0.466
1841      0.324   0.567  0.432
1842      0.297   0.559  0.411
1843      0.396   0.588  0.484
1844      0.344   0.588  0.452
1845      0.431   0.700  0.550
1846      0.435   0.738  0.567
1847      0.375   0.611  0.481
1848      0.257   0.552  0.383
1849      0.264   0.551  0.387
1850      0.350   0.641  0.476
1851      0.476   0.671  0.566
1852      0.400   0.616  0.498
1853      0.477   0.712  0.583
1854      0.406   0.633  0.509
1855      0.359   0.619  0.474
1856      0.374   0.602  0.477
1857      0.365   0.596  0.469
1858      0.362   0.593  0.466
1859      0.274   0.520  0.382
1860      0.422   0.638  0.521
1861      0.423   0.588  0.501
1862      0.488   0.625  0.553
1863      0.304   0.606  0.434
1864      0.335   0.606  0.453
1865      0.336   0.596  0.451
1866      0.389   0.633  0.498
1867      0.483   0.615  0.546
1868      0.291   0.616  0.428
1869      0.341   0.587  0.450
1870      0.380   0.668  0.506
1871      0.299   0.589  0.424
1872      0.280   0.543  0.395
1873      0.251   0.498  0.359
1874      0.441   0.680  0.549
1875      0.362   0.598  0.468
1876      0.373   0.615  0.481
1877      0.399   0.658  0.514
1878      0.269   0.526  0.381
1879      0.397   0.692  0.526
1880      0.325   0.565  0.432
1881      0.507   0.692  0.593
1882      0.448   0.617  0.527
1883      0.317   0.604  0.441
1884      0.453   0.679  0.555
1885      0.355   0.533  0.438
1886      0.348   0.581  0.452
1887      0.276   0.530  0.388
1888      0.446   0.640  0.535
1889      0.383   0.611  0.486
1890      0.404   0.628  0.505
1891      0.340   0.575  0.445
1892      0.487   0.688  0.579
1893      0.208   0.530  0.342
1894      0.382   0.627  0.491
1895      0.275   0.568  0.401
1896      0.351   0.537  0.437
1897      0.342   0.543  0.434
1898      0.372   0.639  0.490
1899      0.241   0.505  0.356
1900      0.286   0.575  0.410
1901      0.383   0.639  0.497
1902      0.282   0.601  0.418
1903      0.387   0.615  0.490
1904      0.297   0.508  0.392
1905      0.362   0.623  0.477
1906      0.361   0.639  0.483
1907      0.437   0.541  0.488
1908      0.293   0.548  0.405
1909      0.324   0.589  0.440
1910      0.332   0.533  0.424
1911      0.445   0.566  0.503
1912      0.331   0.606  0.451
1913      0.376   0.554  0.458
1914      0.512   0.714  0.605
1915      0.352   0.552  0.443
1916      0.407   0.640  0.512
1917      0.465   0.696  0.569
